"","word","sentiment","n"
"391","meaningful","positive",1
"392","merry","positive",1
"393","mess","negative",1
"394","messed","negative",1
"395","mischief","negative",1
"396","misguided","negative",1
"397","mishap","negative",1
"398","morons","negative",1
"399","noiseless","positive",1
"400","nonsense","negative",1
"401","obstructing","negative",1
"402","offend","negative",1
"403","paranoid","negative",1
"404","peach","positive",1
"405","peeled","negative",1
"406","playful","positive",1
"407","pleasant","positive",1
"408","plight","negative",1
"409","poised","positive",1
"410","pride","positive",1
"411","primitive","negative",1
"412","prisoner","negative",1
"413","productive","positive",1
"414","profound","positive",1
"415","protect","positive",1
"416","proud","positive",1
"417","qualified","positive",1
"418","qualify","positive",1
"419","queer","negative",1
"420","quieter","positive",1
"421","raped","negative",1
"422","rapid","positive",1
"423","reaffirm","positive",1
"424","reasonable","positive",1
"425","rebellious","negative",1
"426","refresh","positive",1
"427","regard","positive",1
"428","relief","positive",1
"429","reluctance","negative",1
"430","respect","positive",1
"431","responsive","positive",1
"432","restless","negative",1
"433","reward","positive",1
"434","rich","positive",1
"435","rip","negative",1
"436","risks","negative",1
"437","rival","negative",1
"438","rocky","negative",1
"439","romantic","positive",1
"440","rotten","negative",1
"441","rough","negative",1
"442","rude","negative",1
"443","ruin","negative",1
"444","ruins","negative",1
"445","rumors","negative",1
"446","rumple","negative",1
"447","sack","negative",1
"448","scar","negative",1
"449","scare","negative",1
"450","scared","negative",1
"451","scream","negative",1
"452","sensation","positive",1
"453","sensitive","positive",1
"454","severe","negative",1
"455","shake","negative",1
"456","shallow","negative",1
"457","sharp","positive",1
"458","shock","negative",1
"459","significant","positive",1
"460","silly","negative",1
"461","skinny","negative",1
"462","slut","negative",1
"463","smelling","negative",1
"464","snappy","positive",1
"465","solid","positive",1
"466","sparkling","positive",1
"467","spooky","negative",1
"468","stain","negative",1
"469","stalemate","negative",1
"470","stampede","negative",1
"471","steady","positive",1
"472","stealing","negative",1
"473","steep","negative",1
"474","stew","negative",1
"475","strict","negative",1
"476","striking","positive",1
"477","stunt","negative",1
"478","stupidity","negative",1
"479","successful","positive",1
"480","sucker","negative",1
"481","suffer","negative",1
"482","suffering","negative",1
"483","super","positive",1
"484","support","positive",1
"485","suspicion","negative",1
"486","sweetness","positive",1
"487","swift","positive",1
"488","tempt","positive",1
"489","tender","positive",1
"490","tortured","negative",1
"491","tough","positive",1
"492","tragedy","negative",1
"493","treacherous","negative",1
"494","trick","negative",1
"495","trophy","positive",1
"496","troubled","negative",1
"497","troubles","negative",1
"498","troubling","negative",1
"499","trusted","positive",1
"500","tumble","negative",1
"501","ugh","negative",1
"502","ugly","negative",1
"503","unhappy","negative",1
"504","unknown","negative",1
"505","unlikely","negative",1
"506","unwavering","positive",1
"507","uphold","positive",1
"508","uprising","negative",1
"509","vagrant","negative",1
"510","venom","negative",1
"511","vicious","negative",1
"512","warm","positive",1
"513","wasted","negative",1
"514","weaknesses","negative",1
"515","wholesome","positive",1
"516","willing","positive",1
"517","win","positive",1
"518","wisely","positive",1
"519","worried","negative",1
"520","worrying","negative",1
"521","worth","positive",1
"522","wreck","negative",1
"523","zap","negative",1
