"","text","favorited","favoriteCount","replyToSN","created","truncated","replyToSID","id","replyToUID","statusSource","screenName","retweetCount","isRetweet","retweeted","longitude","latitude"
"2468","The FINAL show of 2019!

Thursday Nov 21 @bgwmc

Think ‘damn fine’ Lynchian #cabaret and #burlesque set to the soun… https://t.co/PrBEgvhtjw",FALSE,3,NA,2019-10-25 11:34:08,TRUE,NA,"1187693823289376768",NA,"<a href=""https://smartpostapp.com"" rel=""nofollow"">Smart Post App</a>","TheDoubleRClub",3,FALSE,FALSE,NA,NA
"2469","#inktoberday25

25/31: Mike
#365portraits 140/365

#inktober2019day25 #inktober #ink #inktoberworld  #twinpeaks… https://t.co/9xWlZzcxNp",FALSE,1,NA,2019-10-25 11:25:26,TRUE,NA,"1187691636198903808",NA,"<a href=""https://ifttt.com"" rel=""nofollow"">IFTTT</a>","mephisto_azorin",0,FALSE,FALSE,NA,NA
"2470","RT @Veronika_or: Omg
Polaroid shots taken on set of #TwinPeaks https://t.co/37i11xzQOG",FALSE,0,NA,2019-10-25 11:21:54,FALSE,NA,"1187690746926850048",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","TravisLawler13",41,TRUE,FALSE,NA,NA
"2471","RT @RinaldoZoontjes: Amazing Video Of #DavidLynch Sitting Next To A #LauraPalmer Doll and Falling Off His Chair, Made By #TheMan Himself. (…",FALSE,0,NA,2019-10-25 11:09:02,FALSE,NA,"1187687505946202113",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","alexanderjacobb",23,TRUE,FALSE,NA,NA
"2472","RT @RinaldoZoontjes: Who’s Afraid Of Windom Earle? #WindomEarle #AgentEarle #ProjectBlueBook #KennethWelsh #Creepy #NightmareFuel #TwinPeak…",FALSE,0,NA,2019-10-25 11:08:24,FALSE,NA,"1187687348622036992",NA,"<a href=""http://www.placeholder.com"" rel=""nofollow"">Twin Peaks bot news</a>","TwinPeaksBotNew",9,TRUE,FALSE,NA,NA
"2473","RT @RinaldoZoontjes: Who’s Afraid Of Windom Earle? #WindomEarle #AgentEarle #ProjectBlueBook #KennethWelsh #Creepy #NightmareFuel #TwinPeak…",FALSE,0,NA,2019-10-25 11:06:24,FALSE,NA,"1187686846291161088",NA,"<a href=""http://twitter.com/#!/download/ipad"" rel=""nofollow"">Twitter for iPad</a>","Diadia72",9,TRUE,FALSE,NA,NA
"2474","Who’s Afraid Of Windom Earle? #WindomEarle #AgentEarle #ProjectBlueBook #KennethWelsh #Creepy #NightmareFuel… https://t.co/SnQrU1jdDJ",FALSE,42,NA,2019-10-25 11:02:45,TRUE,NA,"1187685926744608768",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","RinaldoZoontjes",9,FALSE,FALSE,NA,NA
"2475","RT @PasquinoSalento: #SherylLeeFriday #TwinPeaks 
@SherylLeeActrss @HarryGoaz <U+0001F499> https://t.co/ikQAFeLM4u",FALSE,0,NA,2019-10-25 11:01:13,FALSE,NA,"1187685541237510146",NA,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>","Hyde_p_",7,TRUE,FALSE,NA,NA
"2476","A photo of Dale Cooper from Twin Peaks every hour. #twinpeaks https://t.co/f2KanL993z",FALSE,2,NA,2019-10-25 11:01:07,FALSE,NA,"1187685514519945217",NA,"<a href=""https://ifttt.com"" rel=""nofollow"">IFTTT</a>","DaleCooperHour",0,FALSE,FALSE,NA,NA
"2477","Happy birthday to Erika Anderson (Emerald and Jade on Invitation To Love)! #TwinPeaks #ThisDayInTwinPeaks https://t.co/VuHCuo356c",FALSE,31,NA,2019-10-25 11:00:07,FALSE,NA,"1187685262995812352",NA,"<a href=""http://www.twinpeaksday.org"" rel=""nofollow"">PeaksCalendar</a>","PeaksCalendar",5,FALSE,FALSE,NA,NA
