uis,text,favoriteCount,created,id,replyToUID,statusSource,screenName,retweetCount,isRetweet,retweeted
2950,"https://t.co/YRNvh8ZGKu This is the #TwinPeaks video that explains all seasons and the movie.  Be warned,  it's ove� https://t.co/pHHKIk5FpD",0,24/10/2019 15:21,1.18739E+18,NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",Dani_queenb,0,FALSE,FALSE
2951,RT @BritishBakeOff: It is happening again. #TwinPeaks #GBBO https://t.co/sK2OEqCyF7,0,24/10/2019 15:20,1.18739E+18,NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",modern_goat,559,TRUE,FALSE
2952,RT @BritishBakeOff: It is happening again. #TwinPeaks #GBBO https://t.co/sK2OEqCyF7,0,24/10/2019 15:20,1.18739E+18,NA,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",LuPo_X23,559,TRUE,FALSE
2953,RT @BritishBakeOff: It is happening again. #TwinPeaks #GBBO https://t.co/sK2OEqCyF7,0,24/10/2019 15:20,1.18739E+18,NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",HauntedToast11,559,TRUE,FALSE
2954,@JohnPirruccello @VisitTwinPeaks Not sure...I happen to think it may make it more that. #TwinPeaks,3,24/10/2019 15:20,1.18739E+18,307482928,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",Twin_Petes,0,FALSE,FALSE
2955,RT @BritishBakeOff: It is happening again. #TwinPeaks #GBBO https://t.co/sK2OEqCyF7,0,24/10/2019 15:20,1.18739E+18,NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",vkellermann89,559,TRUE,FALSE
2956,RT @BritishBakeOff: It is happening again. #TwinPeaks #GBBO https://t.co/sK2OEqCyF7,0,24/10/2019 15:18,1.18739E+18,NA,"<a href=""http://tapbots.com/tweetbot"" rel=""nofollow"">Tweetbot for i<U+039F>S</a>",sarabury,559,TRUE,FALSE
2957,RT @BritishBakeOff: It is happening again. #TwinPeaks #GBBO https://t.co/sK2OEqCyF7,0,24/10/2019 15:15,1.18739E+18,NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",gregorianslaps,559,TRUE,FALSE
2958,RT @BritishBakeOff: It is happening again. #TwinPeaks #GBBO https://t.co/sK2OEqCyF7,0,24/10/2019 15:15,1.18739E+18,NA,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",rubot,559,TRUE,FALSE
2959,"Excitement is building! Waiting is hard. 
#TwinPeaks #TradingCards https://t.co/O65t437Cy7 https://t.co/V1xljehmhS",11,24/10/2019 15:14,1.18739E+18,NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",TwinPeaksRevolu,4,FALSE,FALSE
2960,"RT @VinBrannigan: @FBI #FBI, @IRSnews #IRS, @MassStatePolice raid #Massachusetts #stripclub and Adolfo�s Ristorante in #Springfield @Monica�",0,24/10/2019 15:14,1.18739E+18,NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",jam_tako3,4,TRUE,FALSE
2961,RT @BritishBakeOff: It is happening again. #TwinPeaks #GBBO https://t.co/sK2OEqCyF7,0,24/10/2019 15:14,1.18739E+18,NA,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",erinblur,559,TRUE,FALSE
2962,RT @BritishBakeOff: It is happening again. #TwinPeaks #GBBO https://t.co/sK2OEqCyF7,0,24/10/2019 15:12,1.18739E+18,NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",Lucifunk77,559,TRUE,FALSE
2963,RT @BritishBakeOff: It is happening again. #TwinPeaks #GBBO https://t.co/sK2OEqCyF7,0,24/10/2019 15:12,1.18739E+18,NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",hefeelsuprsonic,559,TRUE,FALSE
2964,RT @BritishBakeOff: It is happening again. #TwinPeaks #GBBO https://t.co/sK2OEqCyF7,0,24/10/2019 15:11,1.18739E+18,NA,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",zam_pie,559,TRUE,FALSE
2965,RT @BritishBakeOff: It is happening again. #TwinPeaks #GBBO https://t.co/sK2OEqCyF7,0,24/10/2019 15:11,1.18739E+18,NA,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",dewnot,559,TRUE,FALSE
2966,RT @BritishBakeOff: It is happening again. #TwinPeaks #GBBO https://t.co/sK2OEqCyF7,0,24/10/2019 15:11,1.18739E+18,NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",philwalker79,559,TRUE,FALSE
