"","text","favorited","favoriteCount","replyToSN","created","truncated","replyToSID","id","replyToUID","statusSource","screenName","retweetCount","isRetweet","retweeted","longitude","latitude"
"1110","RT @MovistarCine: Las #OscarNoms ya las predijeron los #Simpsons #Oscars2020 https://t.co/x1ASH0aP63",FALSE,0,NA,2020-01-15 17:35:51,FALSE,NA,"1217500658821148675",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","Galindo__19",42,TRUE,FALSE,NA,NA
"1111","When the interviewer asks: “Have you anything else you would like to add?”. #Simpsons https://t.co/6uY4AoAzFX",FALSE,1,NA,2020-01-15 17:23:51,FALSE,NA,"1217497636061827073",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","Laffpops",0,FALSE,FALSE,NA,NA
"1112","RT @MovistarCine: Las #OscarNoms ya las predijeron los #Simpsons #Oscars2020 https://t.co/x1ASH0aP63",FALSE,0,NA,2020-01-15 17:22:31,FALSE,NA,"1217497301343789060",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","jara_charly",42,TRUE,FALSE,NA,NA
"1113","RT @QuotesSimpsons1: They're official Krusty the clown walkie-talkies!

I'll keep one and you keep one.

Now whenever you want to talk to m…",FALSE,0,NA,2020-01-15 17:22:11,FALSE,NA,"1217497217025613824",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","RexDartEskimoPi",5,TRUE,FALSE,NA,NA
"1114","RT @MovistarCine: Las #OscarNoms ya las predijeron los #Simpsons #Oscars2020 https://t.co/x1ASH0aP63",FALSE,0,NA,2020-01-15 17:16:48,FALSE,NA,"1217495864266182658",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","freefromdesiree",42,TRUE,FALSE,NA,NA
"1115","Found the bar! Now if only I knew the number to crank call them...
#Springfield #Simpsons #TheSimpsons #MoesTavern https://t.co/2F7fzSkskI",FALSE,0,NA,2020-01-15 17:15:13,FALSE,NA,"1217495464620195843",NA,"<a href=""https://www.hootsuite.com"" rel=""nofollow"">Hootsuite Inc.</a>","TetraVariations",0,FALSE,FALSE,NA,NA
"1116","RT @MovistarCine: Las #OscarNoms ya las predijeron los #Simpsons #Oscars2020 https://t.co/x1ASH0aP63",FALSE,0,NA,2020-01-15 17:12:28,FALSE,NA,"1217494772144885760",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","alohaoblx",42,TRUE,FALSE,NA,NA
"1117","#Simpsons @ProSieben auch heute wieder mit mir <U+0001F60F> https://t.co/UNUWE5udCm",FALSE,0,NA,2020-01-15 17:10:48,FALSE,NA,"1217494354685825024",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","falkatw",0,FALSE,FALSE,NA,NA
"1118","RT @GatoCurioso77: El de los #Simpsons... Tampoco se queda corto. <U+0001F63C> https://t.co/vWJVzAlto5",FALSE,0,NA,2020-01-15 17:01:34,FALSE,NA,"1217492030751944705",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","Mister_Propofol",3,TRUE,FALSE,NA,NA
"1119","He's taking funny talk. -- Homer Simpson Like Father, Like Clown #Simpsons",FALSE,0,NA,2020-01-15 17:00:02,FALSE,NA,"1217491642782973952",NA,"<a href=""http://www.floodgap.com/software/ttytter/"" rel=""nofollow"">TTYtter (simpsons_quote)</a>","simpsons_quote",0,FALSE,FALSE,NA,NA
"1120","RT @MovistarCine: Las #OscarNoms ya las predijeron los #Simpsons #Oscars2020 https://t.co/x1ASH0aP63",FALSE,0,NA,2020-01-15 16:51:00,FALSE,NA,"1217489371827490818",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","jgarrido76",42,TRUE,FALSE,NA,NA
"1121","Happy #NationalHatDay to all my #Twitter friends. 

#Gamedev #Yoshi #Simpsons #wednesdaymorning #WednesdayThoughts… https://t.co/9lizEDs5oP",FALSE,4,NA,2020-01-15 16:49:58,TRUE,NA,"1217489109478006785",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","StillsaneShane",0,FALSE,FALSE,NA,NA
"1122","Top #simpsons episode from the 1st season that’ll turn 30 this year. #90s #CartoonNetwork #comedyshow #voiceactor… https://t.co/Wr2A28KG52",FALSE,4,NA,2020-01-15 16:38:21,TRUE,NA,"1217486185469222912",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","AarontheWise",3,FALSE,FALSE,NA,NA
"1123","The #rage of the #simpsons ! #romhacking #streetsofrage2 #sor2 #sega #megadrive #thesimpsons https://t.co/pli9B1jZFf",FALSE,0,NA,2020-01-15 16:24:57,FALSE,NA,"1217482815727521795",NA,"<a href=""http://instagram.com"" rel=""nofollow"">Instagram</a>","Denymetanol",0,FALSE,FALSE,NA,NA
"1124","RT @MovistarCine: Las #OscarNoms ya las predijeron los #Simpsons #Oscars2020 https://t.co/x1ASH0aP63",FALSE,0,NA,2020-01-15 16:21:07,FALSE,NA,"1217481852371513344",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","cristofer3489",42,TRUE,FALSE,NA,NA
"1125","RT @MovistarCine: Las #OscarNoms ya las predijeron los #Simpsons #Oscars2020 https://t.co/x1ASH0aP63",FALSE,0,NA,2020-01-15 16:15:17,FALSE,NA,"1217480382343454723",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","Pioonerjin",42,TRUE,FALSE,NA,NA
"1126","RT @MovistarCine: Las #OscarNoms ya las predijeron los #Simpsons #Oscars2020 https://t.co/x1ASH0aP63",FALSE,0,NA,2020-01-15 16:06:27,FALSE,NA,"1217478160259960832",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","rauldomingo_20",42,TRUE,FALSE,NA,NA
"1127","RT @MovistarCine: Las #OscarNoms ya las predijeron los #Simpsons #Oscars2020 https://t.co/x1ASH0aP63",FALSE,0,NA,2020-01-15 15:59:57,FALSE,NA,"1217476522946240515",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","Uki8422",42,TRUE,FALSE,NA,NA
"1128","RT @SimpsonsVer: -Eso no habría pasado si hubiéramos votado por Pablo Anaya...
+ <U+0001F620><U+0001F620><U+0001F620>
-Bueno, yo nada más decía  ¿no?

#PozaRica #Veracruz #…",FALSE,0,NA,2020-01-15 15:57:21,FALSE,NA,"1217475869175762944",NA,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>","BauzaOficial",2,TRUE,FALSE,NA,NA
"1129","RT @SimpsonsVer: -Eso no habría pasado si hubiéramos votado por Pablo Anaya...
+ <U+0001F620><U+0001F620><U+0001F620>
-Bueno, yo nada más decía  ¿no?

#PozaRica #Veracruz #…",FALSE,0,NA,2020-01-15 15:54:36,FALSE,NA,"1217475178625667072",NA,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>","ROWNYMAN",2,TRUE,FALSE,NA,NA
"1130","@Defunctland This is how I feel about the #simpsons television series. I stopped watching it years ago but I like that it's still out there.",FALSE,0,"Defunctland",2020-01-15 15:54:34,FALSE,"1217166816168042507","1217475170371133440","794967538321002497","<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","Vital_Nonsense",0,FALSE,FALSE,NA,NA
"1131","-Eso no habría pasado si hubiéramos votado por Pablo Anaya...
+ <U+0001F620><U+0001F620><U+0001F620>
-Bueno, yo nada más decía  ¿no?

#PozaRica… https://t.co/e2ShfwkAMc",FALSE,2,NA,2020-01-15 15:54:00,TRUE,NA,"1217475026179567616",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","SimpsonsVer",2,FALSE,FALSE,NA,NA
"1132","RT @MovistarCine: Las #OscarNoms ya las predijeron los #Simpsons #Oscars2020 https://t.co/x1ASH0aP63",FALSE,0,NA,2020-01-15 15:49:55,FALSE,NA,"1217473999225139202",NA,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>","FlogCorr",42,TRUE,FALSE,NA,NA
"1133","RT @MovistarCine: Las #OscarNoms ya las predijeron los #Simpsons #Oscars2020 https://t.co/x1ASH0aP63",FALSE,0,NA,2020-01-15 15:48:21,FALSE,NA,"1217473602901225472",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","Adrilopez95",42,TRUE,FALSE,NA,NA
"1134","RT @MovistarCine: Las #OscarNoms ya las predijeron los #Simpsons #Oscars2020 https://t.co/x1ASH0aP63",FALSE,0,NA,2020-01-15 15:46:37,FALSE,NA,"1217473168794955777",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","Ro_Wheel",42,TRUE,FALSE,NA,NA
"1135","RT @MovistarCine: Las #OscarNoms ya las predijeron los #Simpsons #Oscars2020 https://t.co/x1ASH0aP63",FALSE,0,NA,2020-01-15 15:44:58,FALSE,NA,"1217472751616905216",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","Ace14n",42,TRUE,FALSE,NA,NA
"1136","RT @MovistarCine: Las #OscarNoms ya las predijeron los #Simpsons #Oscars2020 https://t.co/x1ASH0aP63",FALSE,0,NA,2020-01-15 15:44:54,FALSE,NA,"1217472736840310785",NA,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>","damienfmaceira",42,TRUE,FALSE,NA,NA
"1137","RT @MovistarCine: Las #OscarNoms ya las predijeron los #Simpsons #Oscars2020 https://t.co/x1ASH0aP63",FALSE,0,NA,2020-01-15 15:42:40,FALSE,NA,"1217472175969644545",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","bea_ortiz",42,TRUE,FALSE,NA,NA
