"","Episode","word","sentiment"
"500","s1e7","things",NA
"501","s1e7","up",NA
"502","s1e7","so",NA
"503","s1e7","where",NA
"504","s1e7","do",NA
"505","s1e7","i",NA
"506","s1e7","start",NA
"507","s1e7","washing",NA
"508","s1e7","dishes",NA
"509","s1e7","will",NA
"510","s1e7","be",NA
"511","s1e7","fine","positive"
"512","s1e7","donna",NA
"513","s1e7","it's",NA
"514","s1e7","maddy",NA
"515","s1e7","i",NA
"516","s1e7","found",NA
"517","s1e7","a",NA
"518","s1e7","tape",NA
"519","s1e7","in",NA
"520","s1e7","her",NA
"521","s1e7","hiding",NA
"522","s1e7","place",NA
"523","s1e7","i'll",NA
"524","s1e7","meet",NA
"525","s1e7","you",NA
"526","s1e7","and",NA
"527","s1e7","james",NA
"528","s1e7","tomorrow",NA
"529","s1e7","and",NA
"530","s1e7","bring",NA
"531","s1e7","a",NA
"532","s1e7","tape",NA
"533","s1e7","recorder",NA
"534","s1e7","why",NA
"535","s1e7","would",NA
"536","s1e7","an",NA
"537","s1e7","apartment",NA
"538","s1e7","dweller",NA
"539","s1e7","like","positive"
"540","s1e7","jacques",NA
"541","s1e7","buy",NA
"542","s1e7","so",NA
"543","s1e7","much",NA
"544","s1e7","heating",NA
"545","s1e7","oil",NA
"546","s1e7","to",NA
"547","s1e7","heat",NA
"548","s1e7","a",NA
"549","s1e7","log",NA
"550","s1e7","cabin",NA
"551","s1e7","what",NA
"552","s1e7","did",NA
"553","s1e7","you",NA
"554","s1e7","see",NA
"555","s1e7","that",NA
"556","s1e7","night",NA
"557","s1e7","two",NA
"558","s1e7","men",NA
"559","s1e7","two",NA
"560","s1e7","girls",NA
"561","s1e7","screams",NA
"562","s1e7","we'll",NA
"563","s1e7","give",NA
"564","s1e7","josie",NA
"565","s1e7","a",NA
"566","s1e7","chance",NA
"567","s1e7","to",NA
"568","s1e7","sell",NA
"569","s1e7","tomorrow",NA
"570","s1e7","you",NA
"571","s1e7","do",NA
"572","s1e7","realise",NA
"573","s1e7","the",NA
"574","s1e7","risk","negative"
"575","s1e7","if",NA
"576","s1e7","anyone",NA
"577","s1e7","sees",NA
"578","s1e7","us",NA
"579","s1e8","previously",NA
"580","s1e8","on",NA
"581","s1e8","twin",NA
"582","s1e8","peaks",NA
"583","s1e8","i",NA
"584","s1e8","shot",NA
"585","s1e8","him",NA
"586","s1e8","bobby",NA
"587","s1e8","i",NA
"588","s1e8","know",NA
"589","s1e8","i",NA
"590","s1e8","did",NA
"591","s1e8","what",NA
"592","s1e8","happened",NA
"593","s1e8","somebody",NA
"594","s1e8","shot",NA
