"","Episode","word"
"620","s1e8","your"
"621","s1e8","new"
"622","s1e8","life"
"623","s1e8","insurance"
"624","s1e8","are"
"625","s1e8","you"
"626","s1e8","suggesting"
"627","s1e8","that"
"628","s1e8","there's"
"629","s1e8","something"
"630","s1e8","irregular"
"631","s1e8","at"
"632","s1e8","work"
"633","s1e8","here"
"634","s1e8","rejected"
"635","s1e8","that's"
"636","s1e8","what"
"637","s1e8","he"
"638","s1e8","said"
"639","s1e8","nadine"
"640","s1e8","don't"
"641","s1e8","you"
"642","s1e8","give"
"643","s1e8","up"
"644","s1e8","sign"
"645","s1e8","here"
"646","s1e8","welcome"
"647","s1e8","to"
"648","s1e8","one"
"649","s1e8","eyed"
"650","s1e8","jacks"
"651","s1e8","hester"
